batch_id,latency
945,19
946,19
947,19
948,18
949,19
950,18
951,19
952,20
953,19
954,19
955,18
956,71
957,11
958,11
959,10
960,10
961,10
962,10
963,10
964,10
965,10
966,9
967,9
968,9
969,9
970,8
971,8
972,8
973,22
974,21
975,20
976,20
977,20
978,19
979,19
980,19
981,18
982,18
983,19
984,19
985,18
986,19
987,18
2025-05-2904,t=959free_set.acquired=30331free_set.released=20312)
=16378
=8082543
=991
=1
2025-05-2904,t=959)
2025-05-2904,t=0..959view_durable=1..1log_view_durable=1..1)
2025-05-2904,t=959)
988,84
989,12
990,12
991,12
992,12
993,11
994,11
995,11
996,11
997,12
998,11
999,12
1000,10
1001,10
1002,10
1003,9
1004,9
1005,21
1006,19
1007,19
1008,19
1009,18
1010,19
1011,19
1012,19
1013,19
1014,19
1015,18
1016,18
1017,17
1018,19
1019,18
1020,70
1021,12
1022,12
1023,12
1024,11
1025,11
1026,12
1027,11
1028,12
1029,12
1030,11
1031,11
1032,11
1033,10
1034,10
1035,9
1036,8
1037,19
1038,19
1039,19
1040,19
1041,19
1042,19
1043,19
1044,18
1045,17
1046,19
1047,18
1048,18
1049,18
1050,19
1051,18
1052,69
1053,11
1054,11
1055,11
1056,9
1057,9
1058,9
1059,9
1060,9
1061,9
1062,9
1063,9
1064,8
1065,8
1066,8
1067,8
1068,8
1069,21
1070,20
1071,21
1072,20
1073,19
1074,20
1075,19
1076,20
1077,18
1078,19
1079,17
1080,19
1081,18
1082,19
1083,18
1084,69
1085,12
1086,12
1087,12
1088,12
1089,12
1090,12
1091,12
1092,12
1093,12
1094,11
1095,11
1096,10
1097,9
1098,9
1099,9
1100,8
