version,name,part,key_size,elements,wall_time,cpu_cycles,k_cycles,instructions,cache_references,cache_misses,branch_misses,ipc,GHZ,CPUs,maxrss_mb,scale
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.79,0.39,439.90,18.12,0.50,1.90,3.67,5.28,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,117.19,0.48,441.62,16.08,0.61,1.89,3.77,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.88,0.43,440.21,18.65,0.55,2.42,3.31,5.26,1.03,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,149.15,0.58,436.34,19.27,0.51,2.68,2.93,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.66,0.47,383.52,8.66,0.19,2.91,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.22,0.43,381.69,8.20,0.18,2.91,2.91,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.57,0.06,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,128.86,0.46,384.66,8.73,0.19,2.82,2.99,5.28,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.53,17.19,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.07,0.07,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.43,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.83,0.07,34731,262048
baseline,Account,absorb,8,257799,0.01,309.57,1.42,706.26,117.63,3.39,1.13,2.28,5.35,1.01,34731,257799
baseline,Transfer.id,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.43,17.07,0.07,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.97,0.43,441.93,18.71,0.50,1.94,3.68,5.28,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.77,0.41,441.45,16.73,0.57,1.92,3.78,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,133.19,0.42,438.27,18.66,0.59,2.46,3.29,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.92,0.43,435.00,19.13,0.50,2.84,2.92,5.25,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.29,0.46,383.88,8.70,0.19,2.83,2.92,5.25,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.02,0.39,383.91,8.32,0.17,2.92,2.93,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.52,17.26,0.12,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,129.18,0.55,383.09,8.78,0.20,2.68,2.97,5.27,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.37,17.48,0.07,34731,262048
baseline,AccountEvent,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.64,16.78,0.07,34731,262048
baseline,AccountEvent.transfer_pending_status,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.65,16.87,0.07,34731,262048
baseline,AccountEvent.prunable,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.66,16.79,0.07,34731,262048
baseline,Account,absorb,8,257895,0.02,313.16,1.14,703.06,118.27,3.20,1.16,2.25,5.35,1.01,34731,257895
baseline,Transfer.id,swap,16,262048,0.00,0.07,0.05,0.09,0.00,0.00,-nan,1.35,16.70,0.12,34731,262048
baseline,Transfer.debit_account_id,swap,32,262048,0.01,119.96,0.50,444.42,19.12,0.54,1.92,3.70,5.28,1.00,34731,262048
baseline,Transfer.credit_account_id,swap,32,262048,0.01,116.75,0.42,444.26,16.71,0.62,1.89,3.81,5.27,1.00,34731,262048
baseline,Transfer.amount,swap,32,262048,0.01,132.69,0.43,439.42,19.03,0.55,2.43,3.31,5.26,1.00,34731,262048
baseline,Transfer.user_data_128,swap,32,262048,0.01,148.59,0.43,434.22,19.00,0.52,2.87,2.92,5.26,1.00,34731,262048
baseline,Transfer.user_data_64,swap,16,262048,0.01,131.61,0.42,383.44,8.60,0.21,2.79,2.91,5.26,1.00,34731,262048
baseline,Transfer.user_data_32,swap,16,262048,0.01,131.63,0.37,384.06,8.39,0.18,2.91,2.92,5.27,1.00,34731,262048
baseline,Transfer.ledger,swap,16,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.52,16.94,0.12,34731,262048
baseline,Transfer.code,swap,16,262048,0.01,127.91,0.46,385.63,8.78,0.19,2.60,3.01,5.27,1.00,34731,262048
baseline,Transfer,swap,8,262048,0.00,0.06,0.05,0.09,0.00,0.00,-nan,1.51,15.70,0.07,34731,262048
